Location,Year,Make,Model,Row
Boise,1998,FORD,MUSTANG,66
Boise,2005,FORD,MUSTANG,64
Boise,1990,FORD,THUNDERBIRD,68
Boise,1991,FORD,THUNDERBIRD,67
Caldwell,2005,FORD,MUSTANG,55
Caldwell,2000,FORD,MUSTANG,55
Caldwell,2001,FORD,MUSTANG,54
Caldwell,2002,FORD,MUSTANG,54
Caldwell,1996,FORD,MUSTANG,54
Caldwell,2004,FORD,MUSTANG,56
Caldwell,1996,FORD,MUSTANG,56
Caldwell,2008,FORD,MUSTANG,56
Caldwell,1999,FORD,MUSTANG,56
Caldwell,2004,FORD,MUSTANG,52
Caldwell,2000,FORD,MUSTANG,52
Caldwell,1998,FORD,MUSTANG,57
Caldwell,2005,FORD,MUSTANG,52
Caldwell,1997,FORD,THUNDERBIRD,52
Caldwell,1996,FORD,THUNDERBIRD,53
Garden City,2008,FORD,MUSTANG,73
Garden City,2013,FORD,MUSTANG,71
Nampa,2000,FORD,MUSTANG,54
Nampa,2001,FORD,MUSTANG,54
Nampa,1998,FORD,MUSTANG,55
Nampa,1997,FORD,MUSTANG,56
Nampa,2006,FORD,MUSTANG,56
Nampa,1996,FORD,MUSTANG,56
Nampa,1998,FORD,MUSTANG,56
Nampa,2000,FORD,MUSTANG,45
Nampa,2006,FORD,MUSTANG,44
Nampa,2000,FORD,MUSTANG,44
Nampa,2006,FORD,MUSTANG,45
Nampa,1997,FORD,MUSTANG,45
Nampa,2001,FORD,MUSTANG,45
Nampa,2006,FORD,MUSTANG,47
Nampa,2005,FORD,MUSTANG,48
Nampa,2007,FORD,MUSTANG,49
Nampa,1998,FORD,MUSTANG,49
Nampa,2001,FORD,MUSTANG,50
Nampa,1997,FORD,MUSTANG,50
Nampa,1999,FORD,MUSTANG,51
Nampa,1989,FORD,THUNDERBIRD,54
Nampa,1990,FORD,THUNDERBIRD,55
Nampa,1997,FORD,THUNDERBIRD,44
Nampa,1996,FORD,THUNDERBIRD,51
Twin Falls,2006,FORD,MUSTANG,84
Twin Falls,2003,FORD,MUSTANG,85
Twin Falls,1999,FORD,MUSTANG,85
Twin Falls,1996,FORD,MUSTANG,85
Twin Falls,1997,FORD,MUSTANG,85
Twin Falls,2012,FORD,MUSTANG,84
Twin Falls,1997,FORD,MUSTANG,84
Twin Falls,2006,FORD,MUSTANG,84
Twin Falls,2005,FORD,MUSTANG,80
Twin Falls,2003,FORD,MUSTANG,86
Twin Falls,2005,FORD,MUSTANG,86
Twin Falls,1998,FORD,MUSTANG,80
Twin Falls,2000,FORD,MUSTANG,80
Twin Falls,1996,FORD,MUSTANG,82
Twin Falls,1990,FORD,THUNDERBIRD,83
Twin Falls,1994,FORD,THUNDERBIRD,82
